Date,Open,High,Low,Close,Adj Close,Testing Set,Add Columns,Subtract Columns,Multiply Columns,Divide Columns
1981-05-12,0.12221,0.123884,0.12221,0.12221,0.095789,4256000,0.36830399999999996,-0.123884,0.0018502427354443998,8.072067417907075
1981-05-13,0.12221,0.123326,0.121652,0.121652,0.095352,4905600,0.367188,-0.122768,0.00183349885479992,8.145783162558784
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.09404,4928000,0.362166,-0.119978,0.001759328217669608,8.334861391255064
1981-05-15,0.122768,0.124442,0.122768,0.122768,0.096226,4905600,0.369978,-0.124442,0.001875587562142208,8.035872133202616
1981-05-18,0.125,0.126116,0.125,0.125,0.097976,4166400,0.376116,-0.126116,0.0019705625,7.9292080307018935
1981-05-19,0.123326,0.123326,0.122768,0.122768,0.096226,25424000,0.36942,-0.122768,0.0018672156218199683,8.145445067118468
1981-05-20,0.126674,0.12779,0.126674,0.126674,0.099288,13283200,0.38113800000000003,-0.12779,0.0020505569678500404,7.825338445887786
1981-05-21,0.133929,0.134487,0.133929,0.133929,0.104975,32211200,0.40234499999999995,-0.134487,0.0024122902313129663,7.435662926528215
1981-05-22,0.140067,0.141183,0.140067,0.140067,0.109785,31427200,0.421317,-0.141183,0.002769836026850487,7.083005744317658
1981-05-26,0.140067,0.140067,0.139509,0.139509,0.109348,85344000,0.419643,-0.139509,0.002736994215095901,7.167996329985879
1981-05-27,0.147321,0.147879,0.147321,0.147321,0.115471,149497600,0.44252100000000005,-0.147879,0.0032094884813460393,6.762285381967689
1981-05-28,0.147321,0.147879,0.147321,0.147321,0.115471,73987200,0.44252100000000005,-0.147879,0.0032094884813460393,6.762285381967689
1981-05-29,0.147879,0.148438,0.147879,0.147879,0.115909,59382400,0.44419600000000004,-0.148438,0.003246071669872758,6.736819412818821
1981-06-01,0.147879,0.148438,0.147879,0.147879,0.115909,51251200,0.44419600000000004,-0.148438,0.003246071669872758,6.736819412818821
1981-06-02,0.141183,0.141183,0.140625,0.140625,0.110223,40432000,0.422991,-0.140625,0.0028030274281406254,7.111111111111111
1981-06-03,0.140625,0.141741,0.140625,0.140625,0.110223,39446400,0.422991,-0.141741,0.0028029836425781255,7.055121665573123
1981-06-04,0.143415,0.143973,0.143415,0.143415,0.11241,56067200,0.43080299999999994,-0.143973,0.0029612168281199242,6.945746771964188
1981-06-05,0.141741,0.141741,0.141183,0.141183,0.11066,57680000,0.424665,-0.141183,0.0028364386259488233,7.083005744317658
1981-06-08,0.136719,0.136719,0.136161,0.136161,0.106724,93497600,0.40959900000000005,-0.136161,0.0025451329803747214,7.344246884203259
1981-06-09,0.138951,0.139509,0.138951,0.138951,0.108911,119593600,0.417411,-0.139509,0.0026935533323631084,7.167996329985879
1981-06-10,0.140625,0.142299,0.140625,0.140625,0.110223,25222400,0.423549,-0.142299,0.0028140183105468753,7.0274562716533495
1981-06-11,0.146763,0.147321,0.146763,0.146763,0.115034,38976000,0.440847,-0.147321,0.003173202731235249,6.787898534492706
1981-06-12,0.145647,0.145647,0.145089,0.145089,0.113722,25804800,0.43638299999999997,-0.145089,0.003077780009631201,6.892321264878799
1981-06-15,0.145089,0.145089,0.144531,0.144531,0.113284,143763200,0.434709,-0.144531,0.0030424957649400506,6.918930886799372
1981-06-16,0.142299,0.142299,0.141741,0.141741,0.111098,37251200,0.426339,-0.141741,0.0028701142745431413,7.055121665573123
1981-06-17,0.140067,0.140067,0.139509,0.139509,0.109348,27574400,0.419643,-0.139509,0.002736994215095901,7.167996329985879
1981-06-18,0.139509,0.140067,0.138951,0.138951,0.108911,23049600,0.418527,-0.139509,0.002715186897568953,7.16811100496471
1981-06-19,0.135603,0.135603,0.135045,0.135045,0.105849,27507200,0.40625100000000003,-0.135045,0.002483230905027405,7.4049390943759485
1981-06-22,0.13058,0.13058,0.130022,0.130022,0.101912,10841600,0.39118200000000003,-0.130022,0.0022170228570008,7.691006137422898
1981-06-23,0.132254,0.133371,0.132254,0.132254,0.103662,15030400,0.397879,-0.133371,0.002332808234339436,7.497881848377834
1981-06-24,0.130022,0.130022,0.128906,0.128906,0.101037,23027200,0.38895,-0.128906,0.002179248804710504,7.757590802600345
1981-06-25,0.131696,0.132254,0.131696,0.131696,0.103224,24259200,0.39564600000000005,-0.132254,0.0022937917413616647,7.561207978586658
1981-06-26,0.131138,0.131138,0.130022,0.130022,0.101912,23788800,0.39229800000000004,-0.130022,0.002236011093570968,7.691006137422898
1981-06-29,0.126674,0.126674,0.125558,0.125558,0.098413,10595200,0.378906,-0.125558,0.0020147416211700082,7.964446709887064
1981-06-30,0.116629,0.116629,0.116071,0.116071,0.090977,35907200,0.349329,-0.116071,0.0015788353073345107,8.615416426152958
1981-07-01,0.115513,0.115513,0.114955,0.114955,0.090103,170464000,0.345981,-0.114955,0.001533873668042395,8.699056152407463
1981-07-02,0.114955,0.115513,0.114955,0.114955,0.090103,30284800,0.34542300000000004,-0.115513,0.001526464099363825,8.657034273198688
1981-07-06,0.112165,0.112165,0.111049,0.111049,0.087041,16531200,0.335379,-0.111049,0.0013971060503490248,9.00503381390197
1981-07-07,0.112165,0.113281,0.112165,0.112165,0.087916,15836800,0.337611,-0.113281,0.001425186813835225,8.827605688509104
1981-07-08,0.116629,0.117188,0.116629,0.116629,0.091415,16620800,0.350446,-0.117188,0.001594029102841508,8.533296924599789
1981-07-09,0.108259,0.108259,0.107701,0.107701,0.084417,32883200,0.324219,-0.107701,0.001262256913434781,9.284964856408019
1981-07-10,0.099888,0.099888,0.09933,0.09933,0.077856,55171200,0.299106,-0.09933,0.0009910762539955202,10.067451927917045
